timestamp,symbol,event_type,side,qty,price,position,position_id,order_id,status,notes
2026-04-16T14:53:42.872Z,EURUSD,position_opened,BUY,0.32,1.17741,1,7843699,2458805,ok,Bias scale-in long entry
2026-04-16T14:53:50.642Z,EURUSD,order_placed,BUY,0.32,1.17923,0.68,,,submitted,Submitting long entry order
2026-04-16T14:53:51.373Z,EURUSD,position_opened,BUY,0.32,1.17739,1,7843701,2458807,ok,Bias scale-in long entry
2026-04-16T14:54:07.345Z,EURUSD,order_placed,BUY,0.32,1.17923,0.68,,,submitted,Submitting long entry order
2026-04-16T14:54:08.094Z,EURUSD,position_opened,BUY,0.32,1.17735,1,7843703,2458809,ok,Bias scale-in long entry
2026-04-16T14:54:15.840Z,EURUSD,order_placed,BUY,0.32,1.17923,0.68,,,submitted,Submitting long entry order
2026-04-16T14:54:16.625Z,EURUSD,position_opened,BUY,0.32,1.17731,1,7843705,2458811,ok,Bias scale-in long entry
2026-04-16T17:53:19.000Z,EURUSD,position_closed,BUY,0.32,1.17725,0,7843692,2458799,sl_hit,mt5-history:stop_loss
2026-04-16T17:53:28.000Z,EURUSD,position_closed,BUY,0.32,1.17727,0,7843695,2458802,sl_hit,mt5-history:stop_loss
2026-04-16T17:53:37.000Z,EURUSD,position_closed,BUY,0.32,1.17723,0,7843697,2458804,sl_hit,mt5-history:stop_loss
2026-04-16T17:53:46.000Z,EURUSD,position_closed,BUY,0.32,1.17725,0,7843699,2458806,sl_hit,mt5-history:stop_loss
2026-04-16T17:54:05.000Z,EURUSD,position_closed,BUY,0.32,1.17724,0,7843701,2458808,sl_hit,mt5-history:stop_loss
2026-04-16T14:54:32.617Z,EURUSD,order_placed,BUY,0.32,1.17923,0.68,,,submitted,Submitting long entry order
2026-04-16T14:54:33.353Z,EURUSD,position_opened,BUY,0.32,1.17724,1,7843707,2458813,ok,Bias scale-in long entry
2026-04-16T17:54:15.000Z,EURUSD,position_closed,BUY,0.32,1.17718,0,7843703,2458810,sl_hit,mt5-history:stop_loss
2026-04-16T14:54:41.362Z,EURUSD,order_placed,BUY,0.32,1.17923,0.68,,,submitted,Submitting long entry order
2026-04-16T14:54:42.096Z,EURUSD,position_opened,BUY,0.32,1.17723,1,7843709,2458815,ok,Bias scale-in long entry
2026-04-16T14:55:05.378Z,EURUSD,order_placed,BUY,0.32,1.17923,0.68,,,submitted,Submitting long entry order
2026-04-16T14:55:06.113Z,EURUSD,position_opened,BUY,0.32,1.17718,0.68,7843718,2458824,ok,Bias scale-in long entry
2026-04-16T14:55:13.878Z,EURUSD,order_placed,BUY,0.32,1.17923,0.68,,,submitted,Submitting long entry order
2026-04-16T14:55:14.613Z,EURUSD,position_opened,BUY,0.32,1.17723,1,7843722,2458828,ok,Bias scale-in long entry
2026-04-16T14:55:22.351Z,EURUSD,order_placed,BUY,0.32,1.17923,0.68,,,submitted,Submitting long entry order
2026-04-16T14:55:23.094Z,EURUSD,position_opened,BUY,0.32,1.17719,0.68,7843724,2458830,ok,Bias scale-in long entry
2026-04-16T14:55:30.876Z,EURUSD,order_placed,BUY,0.32,1.17923,0.68,,,submitted,Submitting long entry order
2026-04-16T14:55:31.610Z,EURUSD,position_opened,BUY,0.32,1.17716,1,7843726,2458832,ok,Bias scale-in long entry
2026-04-16T17:54:29.000Z,EURUSD,position_closed,BUY,0.32,1.17715,0,7843705,2458812,sl_hit,mt5-history:stop_loss
2026-04-16T17:54:41.000Z,EURUSD,position_closed,BUY,0.32,1.17709,0,7843707,2458814,closed,mt5-history:loss_close
2026-04-16T17:55:00.000Z,EURUSD,position_closed,BUY,0.32,1.17707,0,7843709,2458820,closed,mt5-history:loss_close
2026-04-16T14:55:39.360Z,EURUSD,order_placed,BUY,0.32,1.17923,0.68,,,submitted,Submitting long entry order
2026-04-16T14:55:40.101Z,EURUSD,position_opened,BUY,0.32,1.17714,0.68,7843729,2458835,ok,Bias scale-in long entry
