timestamp,symbol,cash,position,equity
2026-04-15T18:59:56.882Z,EURUSD,88120.5,-4,99709.77
2026-04-15T18:59:57.868Z,XAUUSD,88105.78,0,99695.05
2026-04-15T18:59:59.134Z,EURUSD,88105.78,-4,99695.05
2026-04-15T19:00:00.096Z,XAUUSD,88105.78,0,99695.05
2026-04-15T19:00:01.628Z,EURUSD,88114.63,-4,99703.9
2026-04-15T19:00:02.608Z,XAUUSD,88117.56,0,99706.83
2026-04-15T19:00:03.880Z,EURUSD,88108.72,-4,99697.99
2026-04-15T19:00:04.839Z,XAUUSD,88117.56,0,99706.83
2026-04-15T19:00:06.596Z,EURUSD,88126.39,-4,99715.66
2026-04-15T19:00:07.875Z,XAUUSD,88120.5,0,99709.77
2026-04-15T19:00:08.609Z,EURUSD,88123.45,-4,99712.72
2026-04-15T19:00:09.624Z,XAUUSD,88132.29,0,99721.56
2026-04-15T19:00:10.853Z,EURUSD,88138.17,-4,99727.44
2026-04-15T19:00:11.862Z,XAUUSD,88141.12,0,99730.39
2026-04-15T19:00:13.894Z,EURUSD,88152.9,-4,99742.17
2026-04-15T19:00:14.866Z,XAUUSD,88147,0,99736.27
2026-04-15T19:00:15.617Z,EURUSD,88149.96,-4,99739.23
2026-04-15T19:00:16.600Z,XAUUSD,88147.01,0,99736.28
2026-04-15T19:00:18.398Z,EURUSD,88152.91,-4,99742.18
2026-04-15T19:00:19.375Z,XAUUSD,88155.86,0,99745.13
2026-04-15T19:00:21.126Z,EURUSD,88158.8,-4,99748.07
2026-04-15T19:00:22.363Z,XAUUSD,88149.95,0,99739.22
2026-04-15T19:00:22.612Z,EURUSD,88149.95,-4,99739.22
2026-04-15T19:00:23.583Z,XAUUSD,88155.85,0,99745.12
2026-04-15T19:00:25.610Z,EURUSD,88158.8,-4,99748.07
2026-04-15T19:00:26.639Z,XAUUSD,88170.58,0,99759.85
2026-04-15T19:00:28.589Z,EURUSD,88155.84,-4,99745.11
2026-04-15T19:00:29.642Z,EURUSD,88149.96,-4,99739.23
2026-04-15T19:00:29.859Z,XAUUSD,88147,0,99736.27
2026-04-15T19:00:30.615Z,XAUUSD,88149.96,0,99739.23
2026-04-15T19:00:32.857Z,EURUSD,88152.9,-4,99742.17
2026-04-15T19:00:33.832Z,XAUUSD,88155.85,0,99745.12
2026-04-15T19:00:36.133Z,EURUSD,88138.16,-4,99727.43
2026-04-15T19:00:37.126Z,EURUSD,88141.12,-4,99730.39
2026-04-15T19:00:37.138Z,XAUUSD,88141.12,0,99730.39
2026-04-15T19:00:38.391Z,XAUUSD,88144.07,0,99733.34
2026-04-15T19:00:40.111Z,EURUSD,88149.96,-4,99739.23
2026-04-15T19:00:41.152Z,XAUUSD,88149.96,0,99739.23
2026-04-15T19:00:43.092Z,EURUSD,88152.9,-4,99742.17
2026-04-15T19:00:44.118Z,XAUUSD,88149.96,0,99739.23
2026-04-15T19:00:44.394Z,EURUSD,88149.96,-4,99739.23
2026-04-15T19:00:45.352Z,XAUUSD,88147.01,0,99736.28
2026-04-15T19:00:47.087Z,EURUSD,88138.18,-4,99727.45
2026-04-15T19:00:48.098Z,XAUUSD,88144.07,0,99733.34
2026-04-15T19:00:50.358Z,EURUSD,88138.18,-4,99727.45
2026-04-15T19:00:51.346Z,XAUUSD,88138.18,0,99727.45
2026-04-15T19:00:52.115Z,EURUSD,88138.18,-4,99727.45
2026-04-15T19:00:53.364Z,XAUUSD,88138.18,0,99727.45
2026-04-15T19:00:54.344Z,EURUSD,88138.18,-4,99727.45
2026-04-15T19:00:55.629Z,XAUUSD,88141.12,0,99730.39
2026-04-15T19:00:57.354Z,EURUSD,88129.34,-4,99718.61
2026-04-15T19:00:58.648Z,XAUUSD,88126.39,0,99715.66
2026-04-15T19:00:59.862Z,EURUSD,88126.38,-4,99715.65
2026-04-15T19:01:01.117Z,XAUUSD,88129.34,0,99718.61
2026-04-15T19:01:04.591Z,EURUSD,88129.33,-4,99718.6
2026-04-15T19:01:05.606Z,XAUUSD,88126.38,0,99715.65
2026-04-15T19:01:07.138Z,EURUSD,88129.33,-4,99718.6
2026-04-15T19:01:07.338Z,EURUSD,88129.33,-4,99718.6
2026-04-15T19:01:08.109Z,XAUUSD,88129.33,0,99718.6
2026-04-15T19:01:08.619Z,XAUUSD,88126.38,0,99715.65
2026-04-15T19:01:11.608Z,EURUSD,88120.5,-4,99709.77
2026-04-15T19:01:12.623Z,XAUUSD,88120.5,0,99709.77
2026-04-15T19:01:14.650Z,EURUSD,88117.55,-4,99706.82
2026-04-15T19:01:14.845Z,EURUSD,88117.55,-4,99706.82
2026-04-15T19:01:15.642Z,XAUUSD,88117.55,0,99706.82
2026-04-15T19:01:15.862Z,XAUUSD,88117.55,0,99706.82
2026-04-15T19:01:19.143Z,EURUSD,88123.45,-4,99712.72
2026-04-15T19:01:20.111Z,XAUUSD,88120.5,0,99709.77
2026-04-15T19:01:22.144Z,EURUSD,88120.5,-4,99709.77
2026-04-15T19:01:22.337Z,EURUSD,88123.45,-4,99712.72
2026-04-15T19:01:23.381Z,XAUUSD,88123.45,0,99712.72
2026-04-15T19:01:23.636Z,XAUUSD,88120.51,0,99709.78
2026-04-15T19:01:26.617Z,EURUSD,88123.44,-4,99712.71
2026-04-15T19:01:27.862Z,XAUUSD,88120.5,0,99709.77
2026-04-15T19:01:29.843Z,EURUSD,88123.44,-4,99712.71
2026-04-15T19:01:30.122Z,EURUSD,88123.44,-4,99712.71
2026-04-15T19:01:31.102Z,XAUUSD,88108.71,0,99697.98
2026-04-15T19:01:31.354Z,XAUUSD,88108.71,0,99697.98
2026-04-15T19:01:34.609Z,EURUSD,88099.88,-4,99689.15
2026-04-15T19:01:35.842Z,XAUUSD,88102.82,0,99692.09
2026-04-15T19:01:37.377Z,EURUSD,88105.78,-4,99695.05
2026-04-15T19:01:37.663Z,EURUSD,88105.78,-4,99695.05
2026-04-15T19:01:38.364Z,XAUUSD,88102.82,0,99692.09
2026-04-15T19:01:38.869Z,XAUUSD,88105.77,0,99695.04
2026-04-15T19:01:42.131Z,EURUSD,88120.49,-4,99709.76
2026-04-15T19:01:43.123Z,XAUUSD,88120.49,0,99709.76
2026-04-15T19:01:44.849Z,EURUSD,88120.49,-4,99709.76
2026-04-15T19:01:44.870Z,EURUSD,88120.49,-4,99709.76
2026-04-15T19:01:45.857Z,XAUUSD,88123.45,0,99712.72
2026-04-15T19:01:46.111Z,XAUUSD,88123.45,0,99712.72
2026-04-15T19:01:49.346Z,EURUSD,88129.33,-4,99718.6
2026-04-15T19:01:50.607Z,XAUUSD,88129.33,0,99718.6
2026-04-15T19:01:52.130Z,EURUSD,88123.44,-4,99712.71
2026-04-15T19:01:52.130Z,EURUSD,88123.44,-4,99712.71
2026-04-15T19:01:53.122Z,XAUUSD,88117.56,0,99706.83
2026-04-15T19:01:53.379Z,XAUUSD,88123.46,0,99712.73
2026-04-15T19:01:56.871Z,EURUSD,88114.61,-4,99703.88
2026-04-15T19:01:58.117Z,XAUUSD,88114.61,0,99703.88
